,TT_74FS,XGS600_T1,XGS600_T2,XGS600_T3,XGS600_T4
2025-09-18 11:02:59.468206-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:00.438780-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:01.436689-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:02.438471-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:03.452734-05:00,1.1,1917.0,,13.33,0.9255
2025-09-18 11:03:04.468271-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:05.470365-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:06.499141-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:07.499804-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:08.514555-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:09.516799-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:10.514618-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:03:11.515190-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:12.515450-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:13.499070-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:14.514957-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:15.515377-05:00,1.1,1917.0,,13.33,0.9255
2025-09-18 11:03:16.561760-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:17.530411-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:18.530304-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:19.530984-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:20.530536-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:21.532757-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:22.545862-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:23.561485-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:24.561369-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:25.561601-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:26.546330-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:03:27.546152-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:28.561647-05:00,1.1,1919.0,,13.33,0.9189
2025-09-18 11:03:29.577549-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:30.577100-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:31.562047-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:32.595552-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:33.592667-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:03:34.592746-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:03:35.592823-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:36.592956-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:37.611336-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:38.624165-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:39.624064-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:40.639814-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:41.640396-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:42.670907-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:43.655485-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:03:44.686972-05:00,1.1,1917.0,,13.33,0.9255
2025-09-18 11:03:45.671311-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:46.692484-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:47.670731-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:03:48.673545-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:49.687106-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:50.686570-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:51.686816-05:00,1.1,1917.0,,13.33,0.9299
2025-09-18 11:03:52.702232-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:03:53.716384-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:54.718275-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:55.702267-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:03:56.718078-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:03:57.702381-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:03:58.717769-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:03:59.702674-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:00.718012-05:00,1.1,1917.0,,13.33,0.9211
2025-09-18 11:04:01.702063-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:02.702102-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:03.718334-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:04.718144-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:05.702597-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:06.717669-05:00,1.1,1919.0,,13.33,0.9277
2025-09-18 11:04:07.721105-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:04:08.718480-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:04:09.718017-05:00,1.1,1919.0,,13.33,0.9211
2025-09-18 11:04:10.718235-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:11.718296-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:12.733439-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:04:13.735633-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:14.733482-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:15.764713-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:16.765302-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:17.766760-05:00,1.1,1919.0,,13.33,0.9255
2025-09-18 11:04:18.765237-05:00,1.1,1937.0,,13.33,0.9211
2025-09-18 11:04:19.749691-05:00,1.1,1919.0,,13.33,0.9233
2025-09-18 11:04:20.765430-05:00,1.1,1917.0,,13.33,0.9277
2025-09-18 11:04:21.749092-05:00,1.1,1917.0,,13.33,0.9233
2025-09-18 11:04:22.749231-05:00,1.1,1919.0,,13.33,0.9233
